Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
296257,4540,14100,415480,18432141,91.5154185022,238.038791302,1307.24404255,184.950596427,63619158.3658783,62918.3445454453,15.8944685874,268.99643144,296239,65.2652566645,544.380514214,296219,21.0099297823,311.609873845,73632,231178,15324.5324161,47593.8121293,1011.14210611,558.54899427,311976979,3,1011.19635193,91.5154185022,1307.24404255,18847621,18640,63619158,4539,0,0,0,0,live
289443,448,19471,63298,25913439,141.290178571,325.419709293,1330.87355554,85.3898437052,89747331.9444588,68818.3856579706,14.5317300934,539.001986834,289443,647.523489933,3555.58640648,289283,14.857883924,549.489007801,6692,228092,1547.80043048,67270.5852275,1304.11345382,201.532943623,40615.5273655,43,1304.17892464,141.290178571,1330.87355554,25976737,19919,89747331,447,0,0,0,0,live
296277,7470,23761,534422,31302811,71.5424364123,188.411168767,1317.40292917,150.609565635,107457659.555079,105411.489923281,9.48693563881,163.777715125,296277,39.6675592449,346.840697067,296116,12.4627946128,195.531191114,98308,321928,25212.8919896,80198.5979337,1019.41502305,555.161348188,308204.122522,3,1019.44766418,71.5424364123,1317.40292917,31837233,31231,107457659,7469,0,0,0,0,live
296795,3570,9491,384884,12082240,107.810644258,267.906554802,1273.02075651,261.35140822,42005842.4164828,44006.8060445762,22.7254977029,259.667506525,296777,83.1541047913,492.991587662,296756,31.2703898841,307.764676376,69924,183184,12028.5045233,31978.3015213,954.539733578,582.164233897,338915.195228,2,954.612816783,107.810644258,1273.02075651,12467124,13061,42005842,3569,0,0,0,0,live
296132,2946,8269,235776,10788845,80.032586558,215.121502267,1304.73394606,182.486765358,37228739.2108924,37871.6248159605,26.4073479579,329.223203203,296132,100.554159593,637.285344192,296092,35.8118045477,386.722659077,56892,159728,9948.26631367,27923.3585023,983.037089872,572.018863081,327205.579721,2,983.124743647,80.032586558,1304.73394606,11024621,11215,37228739,2945,0,0,0,0,live
292341,1570,19303,310190,24327238,197.573248408,382.549150024,1260.28275398,254.598510096,84276334.828163,71399.495794295,14.0063721732,253.437338991,292298,186.295729764,915.390089418,292302,15.1436120609,265.674185822,18800,234860,5370.440684,66029.0551103,1180.34736993,386.651128297,149499.095014,12,1180.40391894,197.573248408,1260.28275398,24637428,20873,84276334,1569,0,0,0,0,live
102326,640,6845,43462,9114635,67.909375,195.159790651,1331.57560263,79.9073562468,89499218.1850165,73148.5643922366,13.6726349546,560.438245592,102316,160.118935837,1922.14594229,102163,14.9273816482,589.981215308,9272,77344,6254.51986787,66894.0445244,1223.54181138,365.998454905,133954.868993,10,1223.70527722,67.909375,1331.57560263,9158097,7485,89499218,639,0,0,0,0,live
295984,5318,15927,444800,20891381,83.6404663407,221.719835929,1311.69592516,171.0528159,72085589.0858965,71777.5285150549,13.9325927321,250.05062402,295964,55.6637201429,499.469437979,295946,18.5825693834,290.993395073,74254,226272,17967.1874155,53810.3410995,1004.29765603,563.249083142,317249.52966,2,1004.34492822,83.6404663407,1311.69592516,21336181,21245,72085589,5317,0,0,0,0,live
97411,158,8523,25186,11350823,159.405063291,343.739700028,1331.78728147,78.7951748229,116783617.866565,89117.2454856228,11.2224654378,539.470659655,97411,620.452229299,3985.13920139,97246,11.4111710866,547.694763491,1888,86580,1621.99340937,87495.2520763,1310.4368809,181.092053246,32794.3317487,53,1310.5878355,159.405063291,1331.78728147,11376009,8681,116783617,157,0,0,0,0,live
296192,4956,14057,430744,18252125,86.9136400323,228.345783361,1298.43672192,204.279703369,63076885.9388505,64191.47039758,15.5792131286,219.320859122,296192,59.7763874874,427.296468686,296132,21.0680136596,257.871437331,89136,254287,16732.3898012,47459.0805964,982.641211739,572.109288366,327309.037834,2,982.692894335,86.9136400323,1298.43672192,18682869,19013,63076885,4955,0,0,0,0,live
295670,4870,14010,431184,18236004,88.5388090349,232.668717304,1301.64197002,199.445611482,63135211.553421,63854.9734501302,15.661316807,263.567857069,295652,60.7212980078,516.943751281,295632,21.1030052109,308.548418445,76066,221529,16471.0657152,47383.907735,988.733276839,570.227008523,325158.841249,2,988.785646186,88.5388090349,1301.64197002,18667188,18880,63135211,4869,0,0,0,0,live
296528,2992,8608,237332,11263363,79.3221925134,213.784414297,1308.47618494,172.76655413,38784516.1333837,39119.4086224572,25.5649624968,325.112497648,296528,99.1400869274,634.952219071,296483,34.4467294063,380.549052523,60914,173396,10090.1095343,29029.2990881,991.450737005,568.425669943,323107.74225,2,991.536206897,79.3221925134,1308.47618494,11500695,11600,38784516,2991,0,0,0,0,live
293759,1692,19895,316660,25083053,187.151300236,372.264676693,1260.77170143,250.794673358,86464458.9612574,73485.4081066453,13.6087742055,242.682564488,293753,173.715552927,859.051360714,293720,14.7642505278,254.94708333,25104,306376,5759.82352881,67725.5845778,1176.61923291,389.981435328,152085.519901,11,1176.67373882,187.151300236,1260.77170143,25399713,21587,86464458,1691,0,0,0,0,live
180272,252,13325,39984,17739575,158.666666667,346.361117772,1331.30018762,82.384581368,98626292.4913464,75313.9700008876,13.2787271656,489.293625877,180086,717.474103586,3544.46237084,180109,13.5176373461,498.204002258,2328,120292,1397.88763646,73916.0823644,1309.52378848,184.198276308,33929.0049949,52,1309.62024011,158.666666667,1331.30018762,17779559,13577,98626292,251,0,0,0,0,live
296119,4728,14892,424354,19472847,89.7533840948,234.492040641,1307.60455278,184.585934211,67193260.1420375,66257.1466201088,15.0934808094,260.59876498,296099,62.6399407658,530.377383265,296081,19.8832180512,301.409591032,77476,250336,15966.5539867,50290.5926334,1014.13424392,557.126558203,310390.001855,3,1014.18593272,89.7533840948,1307.60455278,19897201,19620,67193260,4727,0,0,0,0,live
298115,7820,23953,538976,31557013,68.9227621483,184.959709251,1317.4555588,150.48525619,107663113.228117,106579.675628533,9.38294724915,157.152072138,297956,38.1066632562,328.0279294,297955,12.4396710087,188.787121859,114892,362783,26231.4878486,80348.1877799,1010.16944672,561.003787794,314725.24992,3,1010.20124005,68.9227621483,1317.4555588,32095989,31773,107663113,7819,0,0,0,0,live
296545,4656,13135,423424,17053550,90.941580756,237.680222812,1298.32889227,208.761877471,58935318.4171036,59994.2673118751,16.6691961776,269.383165812,296545,63.7046186896,524.482224641,296505,22.5753768844,316.250292305,72660,203168,15700.8211233,44293.4461886,982.354934802,573.255550448,328621.926119,2,982.4101512,90.941580756,1298.32889227,17476974,17791,58935318,4655,0,0,0,0,live
295988,3208,8867,244904,11610010,76.3416458853,206.75714463,1309.35040036,169.395308061,40052008.8652243,40795.5727934916,24.514493954,317.549434993,295988,92.294356096,611.382777686,295947,33.3799909768,373.79463445,64604,177796,10838.2772275,29957.295566,981.785276582,573.605143347,329022.860474,2,981.866583851,76.3416458853,1309.35040036,11854914,12075,40052008,3207,0,0,0,0,live
296205,1750,19809,318602,24959677,182.058285714,366.841646528,1260.01701247,249.269029027,85340487.162607,72784.0515858949,13.7399109379,245.557941123,296164,169.333333333,855.023871449,296172,14.9521405493,258.345463643,26978,306219,5908.0704242,66875.9811617,1172.46358998,393.359343532,154731.573144,11,1172.51797393,182.058285714,1260.01701247,25278279,21559,85340487,1749,0,0,0,0,live
297424,4672,14397,420024,18806210,89.9023972603,234.804779366,1306.25894284,187.822369843,64642510.3555866,64113.8576577546,15.598070065,266.144330225,297423,63.6743737958,536.977213662,297386,20.6575437622,308.608376351,68276,210672,15708.2145355,48405.6431223,1008.25180912,560.193407752,313816.654088,3,1008.30468299,89.9023972603,1306.25894284,19226234,19069,64642510,4671,0,0,0,0,live
179943,774,12878,60254,17137323,77.8475452196,219.142348045,1330.74413729,85.0047931499,95572359.0248023,75868.4694597734,13.1816716724,531.834927257,179769,232.560155239,2229.71008085,179780,13.9613263959,551.563815994,9960,144520,4301.362098,71567.1073618,1259.71683879,305.755611225,93486.4937957,16,1259.80911222,77.8475452196,1330.74413729,17197577,13652,95572359,773,0,0,0,0,live
298234,3564,10128,464258,12920225,130.26318743,306.802302562,1275.69362164,264.00494217,44879131.8226627,45910.258387709,21.7832152509,244.188088749,298096,83.6643278136,493.91774808,298073,29.4334946183,296.859465178,65196,185331,11950.3477135,33959.9106742,977.551814796,573.293729003,328665.699714,2,977.623210634,130.26318743,1275.69362164,13384483,13692,44879131,3563,0,0,0,0,live
297971,6812,22446,504350,29511006,74.0384615385,198.60589286,1314.7556803,160.700185768,100732473.965587,98190.7635306792,10.1846053936,164.81718686,297814,43.7254441345,353.664278403,297811,13.268478503,196.202944762,96526,328257,22861.2851586,75329.4783721,1025.88916231,551.32024923,303954.017211,3,1025.92422585,74.0384615385,1314.7556803,30015356,29258,100732473,6811,0,0,0,0,live
297409,4672,13529,424462,17582284,90.8523116438,237.399798058,1299.59967477,204.486571255,60545397.0794428,61198.5514896994,16.3411538462,261.035994588,297409,63.6713765789,512.611463737,297369,21.981741573,305.419021149,72116,205264,15709.0067886,45489.5447011,989.332545874,569.4867029,324315.10478,2,989.386901819,90.8523116438,1299.59967477,18006746,18201,60545397,4671,0,0,0,0,live
